Country,Open Resolvers,Internet users,Resolvers per person
Saint Kitts and Nevis,729,37210,51.0
Grenada,771,41675,54.1
Marshall Islands,158,10709,67.8
Bulgaria,40434,4155050,102.8
Belize,1063,165014,155.2
Republic of Korea,233549,43274132,185.3
Bermuda,308,60047,195.0
Maldives,968,198071,204.6
Guam,601,124717,207.5
Antigua and Barbuda,262,60306,230.2
Ecuador,28923,7055575,243.9
Romania,43331,11236186,259.3
Hong Kong,18698,5442101,291.1
Barbados,739,228717,309.5
Guyana,954,305007,319.7
Cayman Islands,136,45038,331.2
Seychelles,158,56168,355.5
Liechtenstein,100,36183,361.8
Tunisia,13733,5472618,398.5
Poland,69300,27922152,402.9
Georgia,5078,2104906,414.5
Malta,787,334056,424.5
Andorra,155,66728,430.5
Moldova,4396,1946111,442.7
Italy,83581,39211518,469.1
China,1498094,721434547,481.6
Gabon,358,182309,509.2
Trinidad and Tobago,1843,942713,511.5
Monaco,68,35196,517.6
Australia,39548,20679490,522.9
Turkey,76894,46196720,600.8
Russia,168979,102258256,605.2
Singapore,7552,4699204,622.2
Bolivia,7184,4478400,623.4
Panama,2673,1803261,674.6
Ukraine,27718,19678089,709.9
Philippines,62542,44478808,711.2
Kuwait,4493,3202110,712.7
Lebanon,6333,4545007,717.7
Mauritania,935,714132,763.8
Costa Rica,3486,2738500,785.6
Saudi Arabia,25837,20813695,805.6
Brazil,167145,139111185,832.3
Sweden,10872,9169705,843.4
Uruguay,2654,2238991,843.6
Dominican Republic,6476,5513852,851.4
Morocco,23189,20068556,865.4
Armenia,1743,1510906,866.8
Solomon Islands,67,58423,872.0
Hungary,8994,7874733,875.6
Macao,471,433752,920.9
Saint Lucia,117,109370,934.8
Norway,5506,5167573,938.5
Bahamas,354,333143,941.1
Latvia,1579,1491951,944.9
Ireland,4021,3817392,949.4
South Africa,29971,28580290,953.6
Canada,32996,32120519,973.5
Indonesia,53266,53236719,999.5
United States,285749,286942362,1004.2
Albania,1810,1823233,1007.3
Argentina,29127,30359855,1042.3
Mauritius,514,543048,1056.5
Luxembourg,518,548807,1059.5
Iran,36099,39149103,1084.5
Cambodia,1554,1756824,1130.5
Syria,4854,5502250,1133.5
Switzerland,6396,7302714,1141.8
Serbia,4080,4758861,1166.4
Slovakia,3435,4477641,1303.5
Portugal,5160,6930762,1343.2
Nicaragua,847,1194337,1410.1
Finland,3572,5107402,1429.8
Iceland,232,331778,1430.1
Oman,2311,3310260,1432.4
New Zealand,2811,4078993,1451.1
United Arab Emirates,5558,8515420,1532.1
Jamaica,780,1216098,1559.1
Bosnia and Herzegovina,1497,2343255,1565.3
Lithuania,1395,2199938,1577.0
Cyprus,532,844680,1587.7
Montenegro,242,388057,1603.5
El Salvador,1398,2352849,1683.0
Macedonia,838,1439089,1717.3
Colombia,15876,27664747,1742.6
Austria,3891,6953400,1787.0
Bahrain,708,1278752,1806.1
Honduras,959,1757467,1832.6
Netherlands,8571,15915076,1856.9
Guatemala,2360,4409997,1868.6
Thailand,15393,29078158,1889.1
Mongolia,543,1069693,1970.0
Kazakhstan,4975,9961519,2002.3
Greece,3507,7072534,2016.7
France,27092,55860330,2061.9
Algeria,3843,7937913,2065.6
Yemen,3210,6773228,2110.0
Denmark,2594,5479054,2112.2
Senegal,1717,3647939,2124.6
Mexico,26614,58016997,2179.9
Croatia,1428,3133485,2194.3
Afghanistan,1022,2279167,2230.1
Namibia,175,392181,2241.0
Mozambique,815,1834337,2250.7
Dominica,21,48249,2297.6
New Caledonia,81,186502,2302.5
Angola,2490,5951453,2390.1
Chile,5873,14108392,2402.2
Slovenia,617,1490358,2415.5
Israel,2456,5941174,2419.0
Kiribati,6,14724,2454.0
Tonga,20,49822,2491.1
Japan,46055,115111595,2499.4
Pakistan,13680,34342400,2510.4
United Kingdom,23547,60273385,2559.7
Nepal,1898,4962323,2614.5
Aruba,35,91532,2615.2
French Polynesia,67,182442,2723.0
Egypt,11315,30835256,2725.2
Estonia,439,1196521,2725.6
Vietnam,17854,49063762,2748.1
Gambia,119,346471,2911.5
Comoros,20,59242,2962.1
Belgium,3291,10060745,3057.0
Bangladesh,6836,21439070,3136.2
Spain,11733,37865104,3227.2
India,142655,462124989,3239.5
Malaysia,6183,21090777,3411.1
Venezuela,5246,18254349,3479.7
Peru,3743,13036965,3483.0
Kyrgyzstan,589,2076220,3525.0
Botswana,132,492787,3733.2
Laos,287,1087567,3789.4
Germany,18647,71016605,3808.5
Guinea,62,236932,3821.5
Belarus,1490,5786572,3883.6
Swaziland,93,362921,3902.4
Fiji,104,419958,4038.1
Bhutan,71,289177,4072.9
Benin,147,628683,4276.8
Iraq,1135,4892463,4310.5
State of Palestine,696,3007869,4321.7
Congo,76,357471,4703.6
Puerto Rico,644,3047311,4731.8
Brunei,61,310205,5085.3
Burkina Faso,372,1894498,5092.7
Samoa,11,56373,5124.8
Greenland,7,37899,5414.1
Congo,65,357471,5499.6
Paraguay,564,3149519,5584.3
Zambia,560,3167934,5657.0
Burundi,29,167512,5776.3
Uganda,1319,7645197,5796.2
Cameroon,740,4311178,5825.9
Sierra Leone,26,160188,6161.1
Togo,86,545020,6337.4
Zimbabwe,493,3356223,6807.8
Somalia,28,192775,6884.8
Eritrea,8,56728,7091.0
Libya,184,1335705,7259.3
Suriname,30,231420,7714.0
Ghana,967,7958675,8230.3
Tajikistan,194,1622924,8365.6
Qatar,252,2108970,8368.9
Jordan,404,3536871,8754.6
Azerbaijan,678,6027647,8890.3
Lesotho,49,444376,9068.9
Vanuatu,9,82764,9196.0
Cabo Verde,23,224183,9747.1
Djibouti,10,105163,10516.3
Myanmar,126,1353649,10743.2
Liberia,35,395063,11287.5
Sri Lanka,428,6087164,14222.3
Kenya,1473,21248977,14425.6
Tanzania,197,2895662,14698.8
Madagascar,60,1066397,17773.3
Niger,24,439164,18298.5
Papua New Guinea,48,906695,18889.5
Haiti,68,1308290,19239.6
Malawi,59,1160839,19675.2
Rwanda,75,1478216,19709.5
Guinea-Bissau,3,66284,22094.7
Equatorial Guinea,8,181657,22707.1
Chad,12,387063,32255.3
Uzbekistan,437,15453227,35362.1
Nigeria,1705,86219965,50568.9
Mali,41,2212450,53962.2
Central African Republic,4,224432,56108.0
Cuba,65,3696765,56873.3
Turkmenistan,12,789151,65762.6
Ethiopia,59,4288023,72678.4
Sudan,105,10886813,103683.9
South Sudan,2,2179963,1089981.5
Taiwan,153170,#N/A,#N/A
Czechia,8315,#N/A,#N/A
Saint Vincent and the Grenadines,2316,#N/A,#N/A
Ivory Coast,1382,#N/A,#N/A
Saint Maarten,304,#N/A,#N/A
Guernsey,187,#N/A,#N/A
Isle of Man,154,#N/A,#N/A
San Marino,129,#N/A,#N/A
Curaçao,101,#N/A,#N/A
Guadeloupe,80,#N/A,#N/A
Réunion,79,#N/A,#N/A
Martinique,67,#N/A,#N/A
Jersey,55,#N/A,#N/A
French Guiana,36,#N/A,#N/A
Federated States of Micronesia,32,#N/A,#N/A
Turks and Caicos Islands,31,#N/A,#N/A
British Virgin Islands,31,#N/A,#N/A
Saint Martin,26,#N/A,#N/A
East Timor,22,#N/A,#N/A
Kosovo,19,#N/A,#N/A
São Tomé and Príncipe,17,#N/A,#N/A
Gibraltar,15,#N/A,#N/A
U.S. Virgin Islands,14,#N/A,#N/A
Cook Islands,11,#N/A,#N/A
Palau,10,#N/A,#N/A
Bonaire,9,#N/A,#N/A
British Indian Ocean Territory,6,#N/A,#N/A
Saint Pierre and Miquelon,5,#N/A,#N/A
Anguilla,5,#N/A,#N/A
Northern Mariana Islands,3,#N/A,#N/A
Falkland Islands,3,#N/A,#N/A
American Samoa,3,#N/A,#N/A
Saint-Barthélemy,2,#N/A,#N/A
Faroe Islands,2,#N/A,#N/A
Western Sahara,1,#N/A,#N/A
Wallis and Futuna,1,#N/A,#N/A
Niue,1,#N/A,#N/A
Nauru,1,#N/A,#N/A