1498094,China
285749,United States
233549,Republic of Korea
168979,Russia
167145,Brazil
153170,Taiwan
142655,India
83581,Italy
76894,Turkey
69300,Poland
62542,Philippines
53266,Indonesia
46055,Japan
43331,Romania
40434,Bulgaria
39548,Australia
36099,Iran
32996,Canada
29971,South Africa
29127,Argentina
28923,Ecuador
27718,Ukraine
27092,France
26614,Mexico
25837,Saudi Arabia
23547,United Kingdom
23189,Morocco
18698,Hong Kong
18647,Germany
17854,Vietnam
15876,Colombia
15393,Thailand
13733,Tunisia
13680,Pakistan
11733,Spain
11315,Egypt
10872,Sweden
9301,9301
8994,Hungary
8571,Netherlands
8315,Czechia
7552,Singapore
7184,Bolivia
6836,Bangladesh
6476,Dominican Republic
6396,Switzerland
6333,Lebanon
6183,Malaysia
5873,Chile
5558,United Arab Emirates
5506,Norway
5246,Venezuela
5160,Portugal
5078,Georgia
4975,Kazakhstan
4854,Syria
4493,Kuwait
4396,Republic of Moldova
4080,Serbia
4021,Ireland
3891,Austria
3843,Algeria
3743,Peru
3572,Finland
3507,Greece
3486,Costa Rica
3435,Slovakia
3291,Belgium
3210,Yemen
2811,New Zealand
2673,Panama
2654,Uruguay
2594,Denmark
2490,Angola
2456,Israel
2360,Guatemala
2316,Saint Vincent and the Grenadines
2311,Oman
1898,Nepal
1843,Trinidad and Tobago
1810,Albania
1743,Armenia
1717,Senegal
1705,Nigeria
1579,Latvia
1554,Cambodia
1497,Bosnia and Herzegovina
1490,Belarus
1473,Kenya
1428,Croatia
1398,El Salvador
1395,Republic of Lithuania
1382,Ivory Coast
1319,Uganda
1135,Iraq
1063,Belize
1022,Afghanistan
968,Maldives
967,Ghana
959,Honduras
954,Guyana
935,Mauritania
847,Nicaragua
838,Macedonia
815,Mozambique
787,Malta
780,Jamaica
771,Grenada
740,Cameroon
739,Barbados
729,St Kitts and Nevis
708,Bahrain
696,Palestine
678,Azerbaijan
644,Puerto Rico
617,Slovenia
601,Guam
589,Kyrgyzstan
564,Paraguay
560,Zambia
543,Mongolia
532,Cyprus
518,Luxembourg
514,Mauritius
493,Zimbabwe
471,Macao
439,Estonia
437,Uzbekistan
428,Sri Lanka
404,Hashemite Kingdom of Jordan
372,Burkina Faso
358,Gabon
354,Bahamas
308,Bermuda
304,Sint Maarten
287,Laos
262,Antigua and Barbuda
252,Qatar
242,Montenegro
232,Iceland
197,Tanzania
194,Tajikistan
187,Guernsey
184,Libya
175,Namibia
158,Seychelles
158,Marshall Islands
155,Andorra
154,Isle of Man
147,Benin
136,Cayman Islands
132,Botswana
129,San Marino
126,Myanmar [Burma]
119,Gambia
117,Saint Lucia
105,Sudan
104,Fiji
101,Curaçao
100,Liechtenstein
93,Swaziland
86,Togo
81,New Caledonia
80,Guadeloupe
79,Réunion
76,Republic of the Congo
75,Rwanda
71,Bhutan
68,Monaco
68,Haiti
67,Solomon Islands
67,Martinique
67,French Polynesia
65,Cuba
65,Congo
62,Guinea
61,Brunei
60,Madagascar
59,Malawi
59,Ethiopia
55,Jersey
49,Lesotho
48,Papua New Guinea
41,Mali
36,French Guiana
35,Liberia
35,Aruba
32,Federated States of Micronesia
31,Turks and Caicos Islands
31,British Virgin Islands
30,Suriname
29,Burundi
28,Somalia
26,Sierra Leone
26,Saint Martin
24,Niger
23,Cabo Verde
22,East Timor
21,Dominica
20,Tonga
20,Comoros
19,Kosovo
17,São Tomé and Príncipe
15,Gibraltar
14,U.S. Virgin Islands
12,Turkmenistan
12,Chad
11,Samoa
11,Cook Islands
10,Palau
10,Djibouti
9,Vanuatu
9,Bonaire, Sint Eustatius, and Saba
8,Eritrea
8,Equatorial Guinea
7,Greenland
6,Kiribati
6,British Indian Ocean Territory
5,Saint Pierre and Miquelon
5,Anguilla
4,Central African Republic
3,Northern Mariana Islands
3,Guinea-Bissau
3,Falkland Islands
3,American Samoa
2,South Sudan
2,Saint-Barthélemy
2,Faroe Islands
1,Western Sahara
1,Wallis and Futuna
1,Niue
1,Nauru